character,reading,meaning,level
際,きわ / サイ,"occasion, edge",N3
周,まわり / シュウ,"around, circumference",N3
囲,かこむ / イ,enclose,N3
含,ふくむ / ガン,include,N3
含,ふくめる / ガン,include (trans.),N3
除,のぞく / ジョ,"remove, exclude",N3
除,とりのぞく / ジョ,remove,N3
備,そなえる / ビ,prepare,N3
整,ととのえる・ととのう / セイ,"arrange, adjust",N3
整,ととのえる / セイ,organize,N3
揃,そろう・そろえる / ソロ,"uniform, gather",N3
列,— / レツ,"row, line",N3
並,ならぶ・ならべる / ヘイ,line up,N3
順,— / ジュン,"order,順番",N3
番,— / バン,"number, turn",N3
次,つぎ / ジ,next,N3
項,— / コウ,"item, paragraph",N3
類,たぐい / ルイ,"type, kind",N3
種,たね / シュ,"seed, kind",N3
別,わかれる / ベツ,separate,N3
各,— / カク,each,N3
共,とも / キョウ,"together, common",N3
全,すべて / ゼン,all,N3
両,りょう / リョウ,both,N3
半,なかば / ハン,half,N3
倍,— / バイ,double,N3
増,ふえる・ふやす / ゾウ,increase,N3
減,へる・へらす / ゲン,decrease,N3
余,あまる・あます / ヨ,"excess, remain",N3
欠,かける・かく / ケツ,"lack,欠ける",N3
不足,ふそく / —,shortage,N3
満,みちる・みたす / マン,"full, satisfy",N3
限界,げんかい / —,limit,N3
達成,たっせい / —,achievement,N3
完成,かんせい / —,completion,N3
成功,せいこう / —,success,N3
失敗,しっぱい / —,failure,N3
結果,けっか / —,result,N3
影響,えいきょう / —,influence,N3
原因,げんいん / —,cause,N3
理由,りゆう / —,reason,N3
目的,もくてき / —,purpose,N3
方法,ほうほう / —,method,N3
条件,じょうけん / —,condition,N3
